Spellbook:CAOS;;;;;
Esta vía maneja el principio absoluto del caos, el poder de lo impredecible y la alteración de los acontecimientos.;;;;;
Vínculos: Cerrados, Nigromancia, Ilusión, Esencia, Fuego, Tierra, Agua.;;;;;
Sentir el Caos;;;;;
Nivel: 4 /Acción: Activa;;;;;
Efecto: El hechicero es capaz de notar las fluctuaciones provocadas por el caos en el ambiente, permitiéndole sentir cualquier cosa innatural para la realidad que ocurra dentro del área del conjuro. No determina la localización exacta, pero si es consciente del nivel de influencia que el caos provoca en la existencia.;;;;;
Grado Base Intermedio Avanzado Arcano;;;;;
Zeon;50;80;100;120;
Int. R.;5;8;10;12;
Base: 50 metros de radio.;;;;;
Intermedio: 100 metros de radio.;;;;;
Avanzado: 250 metros de radio.;;;;;
Arcano: 500 metros de radio / El hechicero percibe la presencia de cualquier ser con Gnosis superior a 20 o Natura superior a 10 que esté dentro de la zona de acción del conjuro si estos no superan una RM contra 160.;;;;;
Mantenimiento: 5 / 10 / 10 / 15 /Diario;;;;;
Tipo de Conjuro: Efecto, Detección;;;;;
Aura de Caos;;;;;
Nivel: 14 /Acción: Activa;;;;;
Efecto: El hechicero provoca una oleada de energía que altera las posibilidades forzando resultados caóticos e impredecibles. Mientras este sortilegio se encuentre activo, todas las personas se comportan como si tuvieran Natura 10 (aunque, a efectos de su importancia en la realidad, mantienen su valor original) y todo tipo de sucesos inusuales e imposibles ocurren sin parar. Dicho de otro modo, es como si la suerte se hubiera vuelto loca, y todo pudiera ocurrir. En el momento de lanzar este conjuro, el hechicero debe decidir si lo deja fijo en una zona determinada o hace que el aura se mueva consigo.;;;;;
Grado Base Intermedio Avanzado Arcano;;;;;
Zeon;60;90;120;150;
Int. R.;6;9;12;15;
Base: RM 80 / 10 metros de radio / Presencia máxima 100.;;;;;
Intermedio: RM 100 / 20 metros de radio / Presencia máxima 120.;;;;;
Avanzado: RM 120 / 40 metros de radio / Presencia máxima 140.;;;;;
Arcano: RM 140 / 60 metros de radio / Presencia máxima 160.;;;;;
Mantenimiento: 15 / 20 / 25 / 30;;;;;
Tipo de Conjuro: Efecto;;;;;
Alteración de la Probabilidad;;;;;
Nivel: 24 /Acción: Activa;;;;;
Efecto: El hechicero o el personaje que este elija sufre una alteración temporal de su naturaleza, siendo capaz de realizar con mucha más facilidad acciones extremas, tanto para bien como para mal. En consecuencia, incrementa su rango de pifia y tirada abierta, en los valores indicados por el grado del conjuro. Por ejemplo, alguien sin maestría que fuera afectado por este conjuro en grado base, pifiaría con un resultado de 5 y obtendría una tirada abierta con un 85.;;;;;
Grado Base Intermedio Avanzado Arcano;;;;;
Zeon;80;100;120;140;
Int. R.;8;10;12;14;
Base: +2 al rango de pifia / -5 al rango de tirada abierta.;;;;;
Intermedio: +4 al rango de pifia / -10 al rango de tirada abierta.;;;;;
Avanzado: +6 al rango de pifia / -15 al rango de tirada abierta.;;;;;
Arcano: +8 al rango de pifia / -20 al rango de tirada abierta.;;;;;
Mantenimiento: 20 / 20 / 25 / 30;;;;;
Tipo de Conjuro: Anímico;;;;;
Alterar la Suerte;;;;;
Nivel: 34 /Acción: Activa;;;;;
