Spellbook:Luz;;;;;;;
Crear Luz;;;;;;;
Nivel: 2 //Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: Crea una fuente de luz en un punto u objeto determinado por el;;;;;;;
hechicero.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;20;50;100;200;;;
Int. R.;5;8;10;12;;;
Base: 5 metros de zona iluminada.;;;;;;;
Intermedio: 25 metros de zona iluminada.;;;;;;;
Avanzado: 100 metros de zona iluminada.;;;;;;;
Arcano: 500 metros de zona iluminada.;;;;;;;
Mantenimiento: 5 / 5 / 10 / 15 /Diario;;;;;;;
Libre Acceso Nivel: 1-10;;;;;;;
Imbuir Calma;;;;;;;
Nivel: 6 /Acción: Activa;/Tipo: Anímico;;;;;;
Efecto: Tranquiliza a los individuos perturbados por un sentimiento de temor u odio que se encuentren alrededor del lanzador. Hace desaparecer cualquier estado de Miedo, Terror o Ira en el que estén sumidos, incluso si es de origen sobrenatural. De cualquier modo, no eliminará acciones violentas si estas se realizan a sangre fría o premeditadamente.;;;;;;;
Grado Base Intermedio Avanzado Arcano;;;;;;;
Zeon;40;80;120;160;;;
Int. R.;5;8;11;14;;;
Base: RM o RP 80 / 10 metros de radio.;;;;;;;
Intermedio: RM o RP 100 / 25 metros de radio.;;;;;;;
Avanzado: RM o RP 120 / 50 metros de radio.;;;;;;;
Arcano: RM o RP 150 / 100 metros de radio.;;;;;;;
Mantenimiento: No;;;;;;;
Flash Cegador;;;;;;;
Nivel: 8 /Acción: Activa /Tipo: Automático;;;;;;;
Efecto: Causa un repentino flash de luz en un radio alrededor del brujo que ciega a cualquiera que lo mire durante tantos asaltos como número de decenas por las que no supere la RF del conjuro. No es posible designar blancos específicos en el interior del flash, afectando automáticamente a todos por igual salvo al lanzador. Si alguien se está cubriendo los ojos o prevé de;;;;;;;
algún modo el resplandor, podrá aplicar un +40 a su RF.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;100;150;200;;;
Int. R.;6;9;11;14;;;
Base: 10 metros de radio / 140 RF.;;;;;;;
Intermedio: 25 metros de radio / 140 RF.;;;;;;;
Avanzado: 50 metros de radio / 140 RF.;;;;;;;
Arcano: 100 metros de radio / 160 RF.;;;;;;;
Mantenimiento: No;;;;;;;
Escudo de Luz;;;;;;;
